Name,Team,Role,Matches,Runs,Average,SR,Wickets
Dinesh Karthik,KKR,WICKET KEEPER,196,3823,26.01,129.64,0
Sarfaraz Khan,PBKS,BATSMAN,38,441,25.94,140.0,0
Wriddhiman Saha,SRH,WICKET KEEPER,124,1979,25.7,132.02,0
Eoin Morgan,KKR,BATSMAN,66,1272,25.44,126.32,0
Ravindra Jadeja,CSK,ALL ROUNDER,184,2159,25.4,126.55,114
Rahul Tripathi,KKR,BATSMAN,45,988,25.33,134.79,0
Krunal Pandya,MI,ALL ROUNDER,71,1000,24.39,142.45,46
Karun Nair,KKR,BATSMAN,73,1480,24.26,128.36,0
Chris Morris,RR,ALL ROUNDER,70,551,23.96,157.88,80
Manan Vohra,RR,BATSMAN,49,1012,23.53,131.77,0
Sam Curran,CSK,ALL ROUNDER,23,281,23.42,143.37,23
Liam Livingstone,RR,BATSMAN,4,70,23.33,145.83,0
Kedar Jadhav,SRH,ALL ROUNDER,87,1141,22.82,124.16,0
Dwayne Bravo,CSK,ALL ROUNDER,140,1490,22.58,128.23,153
Abdul Samad,SRH,BATSMAN,12,111,22.2,170.77,1
Glenn Maxwell,RCB,ALL ROUNDER,82,1505,22.13,154.68,19
Mandeep Singh,PBKS,BATSMAN,104,1659,22.12,124.27,0
Prithvi Shaw,DC,BATSMAN,38,826,21.74,139.76,0
Ben Cutting,KKR,ALL ROUNDER,21,238,21.64,168.79,10
Shakib Al Hasan,KKR,ALL ROUNDER,63,746,21.31,126.66,59
Mayank Agarwal,PBKS,BATSMAN,88,1694,21.18,134.55,0
Shimron Hetmyer,DC,BATSMAN,17,275,21.15,138.89,0
Moeen Ali,CSK,ALL ROUNDER,19,309,20.6,158.46,10
Cheteshwar Pujara,CSK,BATSMAN,30,390,20.53,99.74,0
Riyan Parag,RR,BATSMAN,19,246,20.5,121.18,2
Josh Philippe,RCB,WICKET KEEPER,5,78,19.5,101.3,0
Sheldon Jackson,KKR,WICKET KEEPER,4,38,19.0,122.58,0
Axar Patel,DC,ALL ROUNDER,97,913,18.26,127.69,80
Abhishek Sharma,SRH,ALL ROUNDER,14,143,17.88,145.92,3
Sam Billings,DC,WICKET KEEPER,22,334,17.58,133.6,0
Mahipal Lomror,RR,ALL ROUNDER,7,87,17.4,111.54,0
Mitchell Marsh,SRH,ALL ROUNDER,21,225,17.31,114.21,20
Pat Cummins,KKR,BOWLER,30,223,17.15,131.95,29
Daniel Christian,RCB,ALL ROUNDER,40,446,17.15,119.25,34
Sachin Baby,RCB,BATSMAN,18,137,17.12,135.64,2
Washington Sundar,RCB,ALL ROUNDER,36,186,16.91,125.68,24
Shivam Dube,RR,ALL ROUNDER,15,169,16.9,122.46,4
Deepak Hooda,PBKS,ALL ROUNDER,68,625,16.89,129.4,7
Sunil Narine,KKR,BOWLER,120,892,16.83,164.27,127
N Jagadeesan,CSK,WICKET KEEPER,5,33,16.5,113.79,0
Mohammad Nabi,SRH,ALL ROUNDER,14,146,16.22,147.47,11
Karn Sharma,CSK,BOWLER,68,317,15.1,115.69,59
Harbhajan Singh,KKR,BOWLER,160,829,15.07,138.17,150
Jofra Archer,RR,BOWLER,35,195,15.0,157.26,46
Jason Holder,SRH,ALL ROUNDER,18,104,14.86,123.81,19
Priyam Garg,SRH,BATSMAN,14,133,14.78,119.82,0
Shreevats Goswami,SRH,WICKET KEEPER,31,293,14.65,99.32,0
Navdeep Saini,RCB,BOWLER,26,29,14.5,93.55,17
Krishnappa Gowtham,CSK,ALL ROUNDER,24,186,14.31,169.09,13
Aditya Tare,MI,WICKET KEEPER,35,339,14.12,124.18,0
Pawan Negi,KKR,ALL ROUNDER,50,365,14.04,126.3,34
Jasprit Bumrah,MI,BOWLER,92,40,13.33,97.56,109
Yashasvi Jaiswal,RR,BATSMAN,3,40,13.33,90.91,0
Shreyas Gopal,RR,ALL ROUNDER,45,164,12.62,104.46,48
Kagiso Rabada,DC,BOWLER,35,125,12.5,97.66,61
James Neesham,MI,ALL ROUNDER,9,61,12.2,95.31,3
Kane Richardson,RCB,BOWLER,14,36,12.0,92.31,18
Piyush Chawla,MI,ALL ROUNDER,164,584,11.92,111.45,156
Amit Mishra,DC,BOWLER,150,362,11.68,93.06,160
Dhawal Kulkarni,MI,BOWLER,91,104,11.56,96.3,86
Mohammed Siraj,RCB,BOWLER,35,46,11.5,92.0,39
Deepak Chahar,CSK,BOWLER,48,78,11.14,139.29,45
Rinku Singh,KKR,BATSMAN,10,77,11.0,101.32,0
Ravichandran Ashwin,DC,ALL ROUNDER,154,412,10.84,110.46,138
Chris Woakes,DC,ALL ROUNDER,18,63,10.5,95.45,25
Prabhsimran Singh,PBKS,WICKET KEEPER,3,31,10.33,96.88,0
Andrew Tye,RR,BOWLER,27,91,10.11,119.74,40
Harshal Patel,DC,BOWLER,48,128,9.85,137.63,46
Harshal Patel,RCB,BOWLER,48,128,9.85,137.63,46
Kuldeep Yadav,KKR,BOWLER,45,57,9.5,76.0,40
Ishant Sharma,DC,BOWLER,90,55,9.17,90.16,71
Jaydev Unadkat,RR,BOWLER,80,64,9.14,95.52,81
Mayank Markande,RR,BOWLER,17,27,9.0,93.1,16
Sandeep Sharma,SRH,BOWLER,92,44,8.8,77.19,109
Umesh Yadav,DC,BOWLER,121,122,8.71,95.31,119
Rashid Khan,SRH,BOWLER,62,139,8.69,149.46,75
Rahul Chahar,MI,BOWLER,31,17,8.5,100.0,30
Imran Tahir,CSK,BOWLER,58,33,8.25,89.19,80
KC Cariappa,RR,BOWLER,11,24,8.0,114.29,8
Shardul Thakur,CSK,BOWLER,45,48,8.0,114.29,46
Nathan Coulter-Nile,MI,BOWLER,33,77,7.7,118.46,41
Kamlesh Nagarkoti,KKR,BOWLER,10,22,7.33,70.97,5
Bhuvneshwar Kumar,SRH,BOWLER,121,183,7.32,94.33,136
Ravi Bishnoi,PBKS,BOWLER,14,7,7.0,58.33,12
Chris Jordan,PBKS,BOWLER,20,32,6.4,88.89,21
Vishnu Vinod,DC,WICKET KEEPER,3,19,6.33,73.08,0
Mohammed Shami,PBKS,BOWLER,63,56,5.6,100.0,60
Varun Chakravarthy,KKR,BOWLER,14,10,5.0,66.67,18
Shivam Mavi,KKR,ALL ROUNDER,17,23,4.6,79.31,14
Trent Boult,MI,BOWLER,48,12,4.0,80.0,63
Kartik Tyagi,RR,BOWLER,10,4,4.0,66.67,9
Mujeeb Ur Rahman,SRH,BOWLER,18,11,3.67,78.57,17
Yuzvendra Chahal,RCB,BOWLER,99,22,3.67,43.14,121
Adam Milne,MI,BOWLER,5,7,3.5,58.33,4
Shahbaz Nadeem,SRH,BOWLER,71,39,3.0,45.35,47
Jayant Yadav,MI,BOWLER,14,6,3.0,60.0,6
Siddarth Kaul,SRH,BOWLER,46,12,3.0,42.86,51
Prasidh Krishna,KKR,BOWLER,24,3,3.0,27.27,18
Adam Zampa,RCB,BOWLER,14,5,2.5,62.5,21
Murugan Ashwin,PBKS,BOWLER,31,8,2.0,66.67,25
Mustafizur Rahman,RR,BOWLER,24,1,1.0,33.33,24
Ravisrinivasan Sai Kishore,CSK,BOWLER,0,0,0.0,0.0,0
Josh Hazlewood,CSK,BOWLER,3,0,0.0,0.0,1
T Natarajan,SRH,BOWLER,22,3,0.0,60.0,18
Anukul Roy,MI,ALL ROUNDER,1,0,0.0,0.0,1
Hari Nishanth,CSK,BATSMAN,0,0,0.0,0.0,0
Marco Jansen,MI,ALL ROUNDER,0,0,0.0,0.0,0
Arjun Tendulkar,MI,ALL ROUNDER,0,0,0.0,0.0,0
KM Asif,CSK,BOWLER,2,0,0.0,0.0,3
Kyle Jamieson,RCB,BOWLER,0,0,0.0,0.0,0
Lungi Ngidi,CSK,BOWLER,11,0,0.0,0.0,20
Akash Singh,RR,BOWLER,0,0,0.0,0.0,0
Kuldip Yadav,RR,BOWLER,0,0,0.0,0.0,0
Harishankar Reddy,CSK,BOWLER,0,0,0.0,0.0,0
Dawid Malan,PBKS,BATSMAN,0,0,0.0,0.0,0
Virat Singh,SRH,BATSMAN,0,0,0.0,0.0,0
Pavan Deshpande,RCB,ALL ROUNDER,0,0,0.0,0.0,0
Suyash Prabhudessai,RCB,BATSMAN,0,0,0.0,0.0,0
Shahbaz Ahmed,RCB,ALL ROUNDER,2,1,0.0,100.0,2
Daniel Sams,RCB,ALL ROUNDER,3,0,0.0,0.0,0
Rajat Patidar,RCB,BATSMAN,0,0,0.0,0.0,0
Chetan Sakariya,RR,BOWLER,0,0,0.0,0.0,0
Anmolpreet Singh,MI,BATSMAN,0,0,0.0,0.0,0
Khaleel Ahmed,SRH,BOWLER,17,0,0.0,0.0,27
Mohammed Azharuddeen,RCB,WICKET KEEPER,0,0,0.0,0.0,0
Srikar Bharat,RCB,WICKET KEEPER,0,0,0.0,0.0,0
Praveen Dubey,DC,BOWLER,3,7,0.0,53.85,0
Ishan Porel,PBKS,BOWLER,0,0,0.0,0.0,0
Anuj Rawat,RR,WICKET KEEPER,0,0,0.0,0.0,0
Yudhvir Singh,MI,BOWLER,0,0,0.0,0.0,0
Darshan Nalkande,PBKS,BOWLER,0,0,0.0,0.0,0
Manimaran Siddharth,DC,BOWLER,0,0,0.0,0.0,0
Lukman Meriwala,DC,BOWLER,0,0,0.0,0.0,0
Ripal Patel,DC,BOWLER,0,0,0.0,0.0,0
Riley Meredith,PBKS,BOWLER,0,0,0.0,0.0,0
Bhagath Varma,CSK,ALL ROUNDER,0,0,0.0,0.0,0
Utkarsh Singh,PBKS,BOWLER,0,0,0.0,0.0,0
Lalit Yadav,DC,ALL ROUNDER,0,0,0.0,0.0,0
Tim Seifert,KKR,WICKET KEEPER,0,0,0.0,0.0,0
Mohsin Khan,MI,BOWLER,0,0,0.0,0.0,0
Lockie Ferguson,KKR,BOWLER,14,44,0.0,146.67,11
Harpreet Brar,PBKS,ALL ROUNDER,3,20,0.0,166.67,0
Sandeep Warrier,KKR,BOWLER,4,0,0.0,0.0,2
Avesh Khan,DC,BOWLER,9,4,0.0,133.33,5
Jalaj Saxena,PBKS,ALL ROUNDER,0,0,0.0,0.0,0
Fabian Allen,PBKS,ALL ROUNDER,0,0,0.0,0.0,0
Jhye Richardson,PBKS,ALL ROUNDER,0,0,0.0,0.0,0
Shahrukh Khan,PBKS,ALL ROUNDER,0,0,0.0,0.0,0
Saurabh Kumar,PBKS,ALL ROUNDER,0,0,0.0,0.0,0
Vaibhav Arora,KKR,BOWLER,0,0,0.0,0.0,0
Venkatesh Iyer,KKR,ALL ROUNDER,0,0,0.0,0.0,0
Arshdeep Singh,PBKS,BOWLER,11,0,0.0,0.0,12
